7A,80,84,7B,76,66,62,7E,80,85,7F,6E,6D,6F,8F,8C
81,87,81,83,86,80,7A,80,7F,72,7A,68,93,82,84,7A
7D,82,89,73,92,70,66,80,87,8C,7F,A3,6B,82,5B,72
67,87,8C,7C,66,7F,85,80,69,86,7C,91,82,8B,9C,94
99,6E,7B,72,6C,82,5A,7A,78,93,7D,85,95,75,86,82
6D,7D,74,80,96,72,7F,85,83,8B,80,78,82,8B,7A,7F
7C,89,95,73,7B,72,83,7E,99,78,8B,62,7E,5E,7C,80
73,80,94,88,7E,87,84,8E,97,5A,77,7B,81,84,80,7A
81,8C,85,6A,78,86,86,75,81,7E,7E,79,7B,6B,7C,69
66,7B,83,6A,6B,7B,75,8B,9B,87,7C,91,A6,86,8F,94
83,84,93,77,94,69,8A,81,85,81,8E,7D,99,7C,87,82
6A,93,8E,8C,84,73,86,6E,91,83,59,6B,75,79,6D,96
7F,61,72,6C,6F,7F,8C,72,7C,85,81,7E,73,97,6A,83
70,6C,79,6B,84,70,86,7E,77,7F,94,71,72,7E,77,7A
81,79,83,89,7B,7E,78,74,8C,7F,83,87,5D,75,57,8C
91,84,8F,8B,76,7D,AA,75,8C,98,6C,79,82,8F,63,89
76,7F,68,A5,7B,81,82,96,84,8B,76,83,6C,89,6E,6E
86,91,67,6E,85,55,82,8F,6D,96,94,7C,70,7D,68,8C
65,96,93,7F,98,8E,85,6C,7C,79,86,9D,65,8A,88,73
89,7A,84,A1,90,7A,84,92,88,7C,87,78,86,76,6B,7E
80,A2,7C,81,76,7F,7C,7C,82,80,6F,7F,7E,74,7C,82
84,7B,82,6F,67,90,87,8A,83,68,7E,87,85,80,65,81
7C,85,88,74,6A,8E,6A,83,81,71,90,5B,6D,8D,70,81
86,68,86,8A,74,7E,72,88,8E,82,82,8D,75,95,82,86
7E,80,8F,7D,88,93,70,89,81,7B,83,91,88,7C,75,91
7D,86,85,87,7D,8C,71,7B,6D,8B,72,6A,7B,6C,6D,70
79,7E,96,88,75,87,86,7E,78,6E,7F,85,73,9F,76,87
86,78,82,6D,7B,7D,63,7C,82,78,5E,91,85,6B,99,7D
79,7E,75,74,7E,87,78,87,77,84,81,98,7E,96,7E,9B
6C,78,85,7A,7F,89,74,55,68,7D,95,78,98,6A,90,7F
7B,6E,63,76,93,8F,7C,83,70,80,88,7B,84,7E,82,75
